iter	Passed	Remaining
0	381	304655
1	818	326754
2	1114	296185
3	1566	311764
4	1915	304597
5	2203	291611
6	2405	272533
7	2603	257784
8	2784	244752
9	2970	234693
10	3128	224397
11	3286	215799
12	3454	209134
13	3616	203055
14	3821	199994
15	4016	196829
16	4189	192960
17	4350	188994
18	4527	186121
19	4697	183190
20	4846	179785
21	5006	177045
22	5169	174648
23	5343	172771
24	5529	171412
25	5692	169463
26	5874	168179
27	6044	166656
28	6231	165680
29	6439	165281
30	6636	164627
31	6809	163436
32	7016	163075
33	7166	161459
34	7339	160410
35	7494	159041
36	7650	157757
37	7802	156467
38	7971	155547
39	8134	154547
40	8300	153660
41	8462	152727
42	8634	152007
43	8788	150996
44	8967	150459
45	9128	149633
46	9283	148732
47	9424	147657
48	9573	146732
49	9735	146027
50	9877	145063
51	10055	144641
52	10204	143825
53	10381	143421
54	10526	142583
55	10679	141885
56	10836	141259
57	10993	140639
58	11138	139890
59	11289	139238
60	11458	138816
61	11620	138317
62	11774	137746
63	11914	137021
64	12057	136342
65	12194	135612
66	12338	134987
67	12504	134603
68	12656	134083
69	12816	133653
70	12969	133165
71	13136	132827
72	13305	132511
73	13474	132195
74	13642	131881
75	13816	131621
76	13956	131046
77	14104	130559
78	14243	129997
79	14380	129428
80	14522	128911
81	14668	128435
82	14804	127893
83	14966	127575
84	15107	127079
85	15255	126655
86	15395	126172
87	15536	125706
88	15688	125329
89	15836	124935
90	15997	124636
91	16154	124319
92	16323	124097
93	16485	123818
94	16676	123757
95	16833	123444
96	16985	123101
97	17142	122796
98	17290	122430
99	17428	122002
100	17563	121554
101	17699	121121
102	17837	120702
103	17971	120272
104	18106	119848
105	18241	119427
106	18375	119012
107	18519	118661
108	18658	118282
109	18795	117900
110	18931	117510
111	19086	117246
112	19223	116872
113	19356	116479
114	19493	116113
115	19630	115752
116	19767	115393
117	19918	115120
118	20080	114912
119	20244	114718
120	20383	114384
121	20550	114206
122	20753	114226
123	20918	114037
124	21085	113860
125	21241	113623
126	21409	113451
127	21577	113282
128	21744	113104
129	21917	112961
130	22077	112747
131	22248	112588
132	22411	112396
133	22566	112159
134	22727	111953
135	22993	112260
136	23170	112130
137	23410	112304
138	23545	111966
139	23732	111880
140	23917	111785
141	24110	111724
142	24270	111506
143	24443	111354
144	24696	111560
145	24857	111348
146	25013	111115
147	25130	110708
148	25267	110396
149	25421	110161
150	25569	109895
151	25727	109679
152	25872	109408
153	26026	109176
154	26182	108953
155	26325	108675
156	26482	108459
157	26644	108264
158	26832	108175
159	26981	107925
160	27115	107620
161	27284	107455
162	27477	107381
163	27658	107260
164	27841	107145
165	27996	106925
166	28150	106700
167	28306	106487
168	28449	106221
169	28620	106063
170	28791	105906
171	29008	105915
172	29210	105865
173	29353	105605
174	29542	105507
175	29721	105375
176	29897	105233
177	30058	105035
178	30220	104844
179	30377	104633
180	30538	104439
181	30689	104210
182	30843	103991
183	30995	103766
184	31123	103464
185	31251	103164
186	31384	102880
187	31519	102604
188	31670	102383
189	31820	102161
190	31969	101932
191	32098	101645
192	32220	101337
193	32343	101030
194	32484	100785
195	32613	100502
196	32742	100221
197	32892	100005
198	33046	99803
199	33192	99576
200	33348	99381
201	33525	99249
202	33675	99035
203	33799	98748
204	33925	98465
205	34088	98294
206	34223	98040
207	34358	97789
208	34474	97486
209	34603	97220
210	34741	96979
211	34856	96678
212	34976	96389
213	35096	96104
214	35214	95816
215	35335	95536
216	35475	95310
217	35599	95042
218	35717	94756
219	35851	94517
220	35968	94233
221	36085	93953
222	36223	93725
223	36343	93454
224	36459	93173
225	36586	92923
226	36707	92658
227	36833	92407
228	36983	92216
229	37121	91997
230	37236	91720
231	37356	91460
232	37475	91196
233	37599	90945
234	37729	90710
235	37850	90455
236	37994	90257
237	38123	90023
238	38249	89782
239	38379	89553
240	38504	89311
241	38624	89060
242	38747	88816
243	38863	88558
244	38982	88307
245	39101	88057
246	39219	87807
247	39339	87562
248	39486	87378
249	39612	87148
250	39730	86901
251	39871	86705
252	39990	86462
253	40108	86217
254	40230	85983
255	40348	85740
256	40468	85502
257	40590	85272
258	40736	85089
259	40860	84864
260	40978	84625
261	41097	84390
262	41214	84152
263	41332	83917
264	41450	83682
265	41574	83462
266	41692	83228
267	41808	82992
268	41940	82789
269	42075	82593
270	42196	82369
271	42311	82133
272	42432	81911
273	42606	81792
274	42782	81675
275	42934	81512
276	43090	81358
277	43324	81351
278	43477	81189
279	43613	80996
280	43733	80773
281	43850	80547
282	43969	80325
283	44091	80109
284	44210	79889
285	44331	79672
286	44448	79449
287	44602	79292
288	44956	79490
289	45247	79572
290	45642	79835
291	45778	79641
292	45911	79444
293	46051	79257
294	46188	79069
295	46322	78873
296	46458	78682
297	46589	78483
298	46725	78292
299	46856	78093
300	46997	77912
301	47155	77760
302	47292	77572
303	47420	77370
304	47554	77178
305	47690	76989
306	47821	76795
307	47956	76605
308	48093	76420
309	48227	76230
310	48360	76038
311	48493	75848
312	48628	75660
313	48761	75471
314	48894	75281
315	49028	75094
316	49157	74899
317	49288	74708
318	49423	74523
319	49560	74340
320	49695	74156
321	49828	73969
322	49963	73784
323	50098	73601
324	50235	73421
325	50371	73238
326	50511	73063
327	50648	72885
328	50784	72703
329	50921	72523
330	51053	72338
331	51196	72168
332	51341	72001
333	51476	71820
334	51611	71640
335	51741	71452
336	51874	71270
337	52006	71085
338	52142	70907
339	52275	70725
340	52407	70542
341	52544	70366
342	52676	70184
343	52809	70003
344	52956	69841
345	53089	69661
346	53227	69486
347	53371	69322
348	53513	69152
349	53648	68976
350	53779	68795
351	53911	68614
352	54044	68436
353	54174	68253
354	54306	68074
355	54441	67898
356	54576	67724
357	54712	67549
358	54844	67371
359	54975	67192
360	55103	67009
361	55236	66833
362	55370	66658
363	55507	66487
364	55640	66311
365	55774	66136
366	55905	65959
367	56038	65784
368	56176	65615
369	56311	65442
370	56445	65269
371	56580	65097
372	56712	64922
373	56845	64749
374	56983	64581
375	57118	64410
376	57303	64295
377	57480	64171
378	57621	64007
379	57756	63835
380	57890	63664
381	58026	63495
382	58160	63323
383	58294	63152
384	58428	62981
385	58565	62813
386	58699	62643
387	58831	62470
388	58964	62299
389	59101	62132
390	59234	61961
391	59364	61787
392	59498	61618
393	59632	61448
394	59766	61279
395	59901	61111
396	60033	60941
397	60164	60769
398	60297	60599
399	60430	60430
400	60567	60265
401	60698	60094
402	60830	59924
403	60965	59757
404	61098	59590
405	61231	59422
406	61367	59256
407	61503	59091
408	61637	58924
409	61772	58758
410	61905	58591
411	62042	58427
412	62178	58264
413	62309	58095
414	62444	57930
415	62582	57768
416	62716	57602
417	62852	57439
418	62994	57281
419	63126	57114
420	63261	56950
421	63394	56784
422	63528	56620
423	63664	56456
424	63797	56291
425	63929	56125
426	64064	55962
427	64207	55806
428	64345	55646
429	64484	55486
430	64617	55322
431	64750	55158
432	64885	54995
433	65019	54832
434	65156	54671
435	65309	54524
436	65479	54391
437	65622	54235
438	65759	54075
439	65899	53917
440	66033	53755
441	66168	53593
442	66303	53431
443	66435	53268
444	66580	53114
445	66743	52975
446	66907	52837
447	67082	52707
448	67220	52548
449	67370	52398
450	67588	52302
451	67747	52159
452	67904	52014
453	68056	51866
454	68212	51721
455	68358	51568
456	68501	51413
457	68658	51269
458	68975	51243
459	69176	51130
460	69326	50980
461	69474	50827
462	69621	50674
463	69771	50524
464	69916	50370
465	70108	50249
466	70242	50086
467	70395	49938
468	70572	49807
469	70734	49664
470	70893	49520
471	71039	49366
472	71194	49219
473	71334	49061
474	71468	48899
475	71629	48756
476	71784	48608
477	71974	48484
478	72146	48348
479	72299	48199
480	72445	48046
481	72599	47897
482	72730	47733
483	72860	47570
484	72990	47406
485	73122	47243
486	73257	47083
487	73389	46921
488	73522	46759
489	73657	46599
490	73790	46438
491	73921	46276
492	74051	46113
493	74191	45956
494	74322	45794
495	74448	45630
496	74582	45469
497	74713	45307
498	74842	45145
499	74974	44984
500	75141	44844
501	75278	44687
502	75408	44525
503	75543	44366
504	75677	44207
505	75808	44047
506	75938	43885
507	76068	43724
508	76206	43567
509	76368	43425
510	76547	43291
511	76740	43166
512	76880	43011
513	77012	42851
514	77154	42697
515	77323	42557
516	77453	42397
517	77617	42255
518	77787	42116
519	77938	41966
520	78086	41816
521	78236	41666
522	78389	41517
523	78543	41370
524	78699	41223
525	78863	41080
526	79010	40929
527	79166	40782
528	79311	40630
529	79468	40484
530	79604	40327
531	79776	40188
532	79911	40030
533	80126	39913
534	80463	39855
535	80734	39764
536	80994	39667
537	81238	39562
538	81446	39438
539	81655	39315
540	81853	39187
541	82055	39059
542	82302	38953
543	82542	38843
544	82679	38684
545	82822	38528
546	82961	38371
547	83120	38223
548	83314	38090
549	83484	37947
550	83665	37808
551	83848	37671
552	84048	37540
553	84257	37414
554	84453	37281
555	84617	37134
556	84763	36979
557	84936	36836
558	85163	36716
559	85298	36556
560	85513	36430
561	85747	36313
562	86007	36205
563	86284	36104
564	86454	35958
565	86706	35846
566	86943	35728
567	87161	35601
568	87371	35470
569	87615	35353
570	87872	35241
571	88138	35132
572	88359	35004
573	88512	34849
574	88665	34695
575	88825	34543
576	88978	34388
577	89147	34240
578	89317	34091
579	89517	33954
580	89701	33811
581	89863	33660
582	90012	33503
583	90291	33395
584	90528	33271
585	90743	33138
586	90906	32986
587	91053	32828
588	91213	32675
589	91365	32520
590	91517	32364
591	91733	32230
592	91923	32087
593	92092	31937
594	92237	31779
595	92375	31618
596	92525	31461
597	92929	31390
598	93092	31238
599	93278	31092
600	93492	30956
601	93727	30827
602	93897	30676
603	94049	30519
604	94195	30360
605	94350	30204
606	94487	30043
607	94621	29880
608	94757	29718
609	94916	29564
610	95181	29442
611	95424	29313
612	95584	29158
613	95752	29006
614	95917	28853
615	96073	28697
616	96221	28538
617	96366	28379
618	96508	28219
619	96671	28065
620	96807	27904
621	96936	27740
622	97078	27580
623	97292	27441
624	97518	27305
625	97690	27153
626	97853	26999
627	98018	26845
628	98212	26699
629	98354	26540
630	98498	26380
631	98773	26256
632	98993	26116
633	99170	25965
634	99360	25818
635	99643	25694
636	99813	25540
637	99984	25387
638	100164	25237
639	100358	25089
640	100521	24934
641	100661	24773
642	100810	24614
643	100977	24460
644	101149	24307
645	101285	24145
646	101420	23983
647	101553	23821
648	101692	23660
649	101823	23497
650	101956	23335
651	102096	23175
652	102240	23015
653	102371	22853
654	102511	22693
655	102760	22557
656	103033	22425
657	103241	22280
658	103425	22128
659	103580	21971
660	103818	21831
661	103999	21679
662	104150	21521
663	104286	21359
664	104420	21198
665	104559	21037
666	104695	20876
667	104862	20721
668	105211	20602
669	105354	20442
670	105532	20288
671	105705	20134
672	105844	19973
673	105994	19814
674	106265	19678
675	106399	19517
676	106538	19356
677	106676	19195
678	106812	19034
679	106948	18873
680	107086	18712
681	107221	18551
682	107359	18390
683	107495	18230
684	107632	18069
685	107888	17928
686	108034	17769
687	108178	17610
688	108344	17454
689	108484	17294
690	108738	17152
691	108907	16997
692	109171	16856
693	109304	16694
694	109441	16534
695	109577	16373
696	109758	16219
697	110021	16077
698	110312	15939
699	110550	15792
700	110744	15640
701	111014	15497
702	111281	15354
703	111529	15208
704	111671	15047
705	111806	14886
706	111936	14724
707	112073	14563
708	112380	14423
709	112641	14278
710	112899	14132
711	113199	13990
712	113482	13847
713	113623	13685
714	113787	13527
715	114092	13385
716	114263	13227
717	114413	13066
718	114760	12928
719	114998	12777
720	115224	12625
721	115352	12461
722	115479	12298
723	115603	12135
724	115739	11973
725	115881	11811
726	116007	11648
727	116137	11486
728	116286	11325
729	116410	11162
730	116592	11005
731	117474	10912
732	118153	10799
733	118367	10643
734	118540	10483
735	118684	10320
736	119178	10187
737	119412	10031
738	119568	9869
739	119865	9718
740	120035	9557
741	120181	9394
742	120431	9239
743	120764	9089
744	121006	8933
745	121150	8769
746	121303	8606
747	121585	8452
748	121980	8305
749	122156	8143
750	122346	7982
751	122578	7824
752	122824	7666
753	123126	7511
754	123352	7352
755	123536	7189
756	123698	7026
757	123884	6864
758	124059	6701
759	124216	6537
760	124375	6374
761	124536	6210
762	124695	6046
763	124822	5881
764	124951	5716
765	125080	5551
766	125224	5387
767	125344	5222
768	125467	5057
769	125592	4893
770	125713	4728
771	125830	4563
772	125954	4399
773	126079	4235
774	126199	4070
775	126322	3906
776	126468	3743
777	126590	3579
778	126714	3415
779	126838	3252
780	126964	3088
781	127091	2925
782	127242	2762
783	127406	2600
784	127540	2437
785	127670	2274
786	127790	2110
787	127921	1948
788	128076	1785
789	128234	1623
790	128355	1460
791	128496	1297
792	128656	1135
793	128829	973
794	128988	811
795	129139	648
796	129275	486
797	129407	324
798	129561	162
799	129716	0
